	chart	title	artist	weeks	rank	query_week	lyrics
14	hot-holiday-songs	Let It Snow, Let It Snow, Let It Snow	Dean Martin	27.0	14.0	2016-12-17	"Oh the weather outside is frightful
But the fire is so delightful,
And snice we've no place to go,
Let it snow!
Let it snow!
Let it snow!

It doesn't show signs of stopping
And I brought some corn for popping,
The lights are turned way down low,
Let it snow!
Let it snow!
...


(1409614428508)"
15	hot-holiday-songs	Blue Christmas	Elvis Presley	28.0	15.0	2016-12-17	"I'll have a blue Christmas without you
I'll be so blue just thinking about you
Decorations of red on a green Christmas tree
Won't be the same, dear, if you're not here with me
...


(1409614428508)"
16	hot-holiday-songs	It's Beginning To Look A Lot Like Christmas	Michael Buble	27.0	16.0	2016-12-10	
17	hot-holiday-songs	It's Beginning To Look A Lot Like Christmas	Johnny Mathis	27.0	17.0	2016-12-10	
18	hot-holiday-songs	You're A Mean One, Mr. Grinch	Thurl Ravenscroft	27.0	18.0	2016-12-10	"You're a mean one, Mr. Grinch.
You really are a heel.
You're as cuddly as a cactus
You're as charming as an eel.
Mr. Grinch.

You're a bad banana
With a greasy black peel.

You're a monster, Mr. Grinch.
Your heart's an empty hole.
Your brain is full of spiders
You've got garlic in your soul.
Mr. Grinch.

I wouldn't touch you, with a
thirty-nine-and-a-half foot pole.

...


(1409614428508)"
19	hot-holiday-songs	Wonderful Christmastime	Paul McCartney	27.0	19.0	2016-12-10	
20	hot-holiday-songs	Sleigh Ride	The Ronettes	22.0	20.0	2016-12-10	"Just see those sleigh bells jingling
And ring dinglaing too
Come on, it's lovely weather
For a sleigh ride together with you

Outside the snow is falling
And friends are calling, ""Yoo hoo""
Come on, it's lovely weather
...


(1409614428508)"
21	hot-holiday-songs	Linus & Lucy	Vince Guaraldi Trio	21.0	20.0	2016-01-09	
22	hot-holiday-songs	Happy Xmas (War Is Over)	John Lennon & Yoko Ono	26.0	21.0	2016-01-09	"So this is Xmas
And what have you done?
Another year over
And a new one just begun
And so this is Xmas
I hope you have fun
The near and the dear one
The old and the young
A very merry Xmas
And a happy New Year
Let's hope it's a good one
Without any fear
And so this is Xmas
(War is over)
For weak and for strong
(If you want it)
For rich and the poor ones
(War is over)
...


(1409614428508)"
23	hot-holiday-songs	Christmas Canon	Trans-Siberian Orchestra	26.0	24.0	2016-01-09	"Merry Christmas
Merry Christmas
Merry Christmas
Merry Christmas

(The joy that he brings)
Merry Christmas, Merry Christmas
(The joy that he brings)
Merry Christmas, Merry Christmas
(The joy that he brings)
Merry Christmas, Merry Christmas
(The joy that he brings)
Merry Christmas

This night, we pray
Our lives, will show
This dream, he had
Each child, still knows

This night, we pray
...


(1409614428508)"
24	hot-holiday-songs	Christmas Time Is Here	Vince Guaraldi Trio	26.0	25.0	2016-01-09	
25	hot-holiday-songs	Have Yourself A Merry Little Christmas	Frank Sinatra	17.0	26.0	2016-01-09	"Have yourself a merry little Christmas
Let your heart be light
From now on, all our troubles will be out of sight

Have yourself a merry little Christmas
Make the yule-tide gay
From now on, our troubles will be miles away

Here were are as in olden days
...


(1409614428508)"
26	hot-holiday-songs	Santa Tell Me	Ariana Grande	10.0	15.0	2016-01-02	"Santa, tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa, tell me if he really cares
'Cause I can give it all away if he won't be here next year

Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
Let it snow, is blasting now
But I won't get it in the mood
I'm avoiding every mistletoe until I know it's true love
That he thinks of
So next Christmas I'm not all alone, boy

Santa, tell me if you're really there
Don't make me fall in love again
If he won't be here next year
Santa, tell me if he really cares
...


(1409614428508)"
27	hot-holiday-songs	Hallelujah	Lindsey Stirling	1.0	21.0	2016-01-02	
28	hot-holiday-songs	Here Comes Santa Claus (Right Down Santa Claus Lane)	Elvis Presley	16.0	23.0	2016-01-02	
29	hot-holiday-songs	Adeste Fidelis (Oh, Come All Ye Faithful)	Bing Crosby	5.0	24.0	2016-01-02	"Oh, come all ye faithful joyful and triumphant
Oh, come ye oh, come ye to Bethlehem
Come and behold him, born the king of angels

O come, let us adore Him
O come, let us adore Him
...


(1409614428508)"
30	hot-holiday-songs	Mistletoe	Justin Bieber	25.0	26.0	2016-01-02	"It's the most beautiful time of the year
Lights fill the streets spreading so much cheer
I should be playing in the winter snow
But I'mma be under the mistletoe

I don't want to miss out on the holiday
But I can't stop staring at your face
I should be playing in the winter snow
but imma be under the mistletoe

With you, shawty with you
With you, shawty with you
With you under the mistletoe

Everyone's gathering around the fire
Chestnuts roasting like a hot July
I should be chillin' with my folks, I know
But I'mma be under the mistletoe

Word on the street santa's coming tonight
Reindeer's flying thought the sky so high
...


(1409614428508)"
31	hot-holiday-songs	Mary Did You Know	Jordan Smith	1.0	2.0	2015-12-26	"Mary, did you know
that your Baby Boy would one day walk on water?
Mary, did you know
that your Baby Boy would save our sons and daughters?
Did you know
that your Baby Boy has come to make you new?
This Child that you delivered will soon deliver you.

Mary, did you know
that your Baby Boy will give sight to a blind man?
Mary, did you know
...


(1409614428508)"
32	hot-holiday-songs	Little Saint Nick	The Beach Boys	23.0	28.0	2015-12-26	
33	hot-holiday-songs	Santa Claus Is Comin' To Town	Bruce Springsteen	24.0	29.0	2015-12-26	
34	hot-holiday-songs	Santa Baby	Eartha Kitt	24.0	31.0	2015-12-26	
35	hot-holiday-songs	The Chipmunk Song (Christmas Don't Be Late)	David Seville & The Chipmunks	17.0	32.0	2015-12-26	"Dave: Alright Chipmunks, ready to sing the new version of your song?
Simon: You know we are, yeah, lets sing it now!
Dave: Alright Simon?
Simon: Alright
Dave: Alright Theodore?
Theodore: Alright
Dave: Alright Alvin?...Alvin?...ALVIN!
Alvin: Oh Yeah!
Christmas, Christmas time is near,

Time for toys and time for cheer.
We've been good, but we can't last,
Hurry Christmas, Hurry fast.
Want a plane that loops the loop,
...


(1409614428508)"
36	hot-holiday-songs	Happy Holiday/The Holiday Season	Andy Williams	23.0	32.0	2015-12-19	"Intro
Happy holiday
Happy holiday
While the merry bells keep ringing
Happy holiday to you
Its the holiday season
And Santa Claus is comin' round
The Christmas snow is white on the ground
When old Santa gets into town
he'll be comin' down the chimney down
Its the holidasy season
And Santa Claus had got a toy for every good girl and good little boy
...


(1409614428508)"
37	hot-holiday-songs	That's Christmas To Me	Pentatonix	8.0	33.0	2015-12-19	"The fireplace is burning bright, shining all on me
I see the presents underneath the good old Christmas tree
And I wait all night 'til Santa comes to wake me from my dreams
Oh, why? 'Cause that's Christmas to me

I see the children play outside, like angels in the snow
While mom and daddy share a kiss under the mistletoe
And we'll cherish all these simple things wherever we may be
Oh, why? 'Cause that's Christmas to me

I've got this Christmas song in my heart (Song in my heart)
I've got the candles glowing in the dark
...


(1409614428508)"
38	hot-holiday-songs	Holly Jolly Christmas	Michael Buble	18.0	35.0	2015-12-19	"Have a holly jolly Christmas
It's the best time of the year
Well I don't know if there'll be snow
But have a cup of cheer
Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

...


(1409614428508)"
39	hot-holiday-songs	White Christmas	The Drifters	13.0	36.0	2015-12-19	"Ooh
Doop doop, doop doo doop
Ooh
Doop doop, doop doo doop

I'm dreaming of a white Christmas,
Just like the ones I used to know,
Where those treetops glisten, and children listen,
To hear sleigh bells in the snow, the snow.
...


(1409614428508)"
40	hot-holiday-songs	Please Come Home For Christmas	Eagles	23.0	37.0	2015-12-19	"Bells will be ringing this sad sad news

Oh what a christmas to have the blues
My baby's gone
I have no friends to wish me greetings once again
Choirs will be singing (ooh...) silent night
Christmas carols (ooh...) by candlelight
...


(1409614428508)"
41	hot-holiday-songs	Sleigh Ride	Amy Grant	3.0	31.0	2015-12-12	"Just hear those sleigh bells jingling, ring ting tingling too
Come on it's lovely weather for a sleigh ride together with you
Outside the snow is falling and friends are calling, ""Yoo hoo!""
Come on it's lovely weather for a sleigh ride together with you

Giddy yap, giddy yap, giddy yap, let's go
Let's look at the show, we're riding in a wonderland of snow
Giddy yap, giddy yap, giddy yap, it's grand just holding your hand
We're gliding along with a song of a wintery fairyland

Our cheeks are nice and rosy and comfy cozy are we
We've snuggled close together like two birds of a feather would be
Let's take that road before us and sing a chorus or two
Come on it's lovely weather for a sleigh ride together with you

...


(1409614428508)"
42	hot-holiday-songs	Baby It's Cold Outside	Idina Menzel Duet With Michael Buble	7.0	34.0	2015-12-12	"I really can't stay
Baby, it's cold outside
I've got to go away
Baby, it's cold outside
This evening has been
Been hoping that you'd drop in
So very nice
I'll hold your hands, they're just like ice
My mother will start to worry
Beautiful, what's your hurry?
My father will be pacing the floor
Listen to that fire place roar
So really I'd better scurry
Beautiful, please don't hurry
But maybe just a half a drink more
I'll put some records on while I pour

The neighbors might think
Baby, it's bad out there
Say what's in this drink?
No cabs to be had out there
I wish I knew how
Your eyes are like starlight now
...


(1409614428508)"
43	hot-holiday-songs	Where Are You Christmas?	Faith Hill	22.0	38.0	2015-12-12	"Where are you Christmas
Why can't I find you
Why have you gone away
Where is the laughter
You used to bring me
Why can't I hear music play

My world is changing
I'm rearranging
Does that mean Christmas changes too

Where are you Christmas
...


(1409614428508)"
44	hot-holiday-songs	Do They Know It's Christmas?	Band-Aid	21.0	39.0	2015-12-12	"Endlich wieder Weihnachtszeit
Die Nerven liegen so schön blank
Egal ob's regnet oder schneit
Wir treffen uns am Glühweinstand
Wir vergessen unsere Nächsten nicht
Kaufen all die Läden leer
Die ganze Stadt versinkt heut' Nacht im Lichtermeer
Und du fliegst nur 6 Stunden weiter
Ärzte, Schmerzen ohne Grenzen
Kleine Jungs in Barcelona Shirts malen ihre Träume an die Wände
Es gibt so viel Zukunft, so viel Vielfalt in all den 54 Ländern
Doch immer nur dieselben Bilder, gelbe Schutzanzüge auf all den Sendern
Du gehst durch den Dezember
...


(1409614428508)"
45	hot-holiday-songs	Breath Of Heaven (Mary's Song)	Amy Grant	5.0	40.0	2015-12-12	"I have traveled many moonless nights
Cold and weary with a babe inside
And I wonder what I've done
Holy Father, You have come
And chosen me now to carry Your Son

I am waiting in a silent prayer
I am frightened by the load I bear
In a world as cold as stone
Must I walk this path alone?
Be with me now, be with me now

...


(1409614428508)"
46	hot-holiday-songs	Here Comes Santa Claus (Down Santa Claus Lane)	Gene Autry	19.0	27.0	2015-12-05	
47	hot-holiday-songs	Carol Of The Bells	David Foster	12.0	33.0	2015-12-05	
48	hot-holiday-songs	Last Christmas	Taylor Swift	21.0	36.0	2015-12-05	"Last Christmas
I gave you my heart
But the very next day,
you gave it away

This year, to save me from tears
I'll give it to someone special
Once bitten and twice shied
I keep my distance but you still catch my eye
Tell me baby
Do you recognize me
Well, it's been a year,
it doesn't surprise me
Merry Christmas,

I wrapped it up and sent it
With a note saying
'I love you', I meant it
Now I know what a fool I've been

But if you kiss me now,
I know you'd fool me again
Last Christmas
I gave you my heart
...


(1409614428508)"
49	hot-holiday-songs	Do You Hear What I Hear?	Bing Crosby	10.0	38.0	2015-12-05	"Bing Crosby


Peaked Billboard position #2 in 1963


Said the night wind to the little lamb,
Do you see what I see?
Way up in the sky, little lamb,
Do you see what I see?
A star, a star, dancing in the night
With a tail as big as a kite,
With a tail as big as a kite.
...


(1409614428508)"
50	hot-holiday-songs	The Thanksgiving Song	Adam Sandler	5.0	39.0	2015-12-05	
1	christian-songs	What A Beautiful Name	Hillsong Worship	29.0	1.0	2017-04-22	"You were the Word at the beginning
One With God the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful Name it is
What a beautiful Name it is
The Name of Jesus Christ my King

What a beautiful Name it is
Nothing compares to this
What a beautiful Name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now

What a wonderful Name it is
What a wonderful Name it is
The Name of Jesus Christ my King

...


(1409614428508)"
2	christian-songs	Even If	MercyMe	10.0	2.0	2017-04-22	"They say sometimes you win some
Sometimes you lose some
And right now
Right now I'm losing bad

I've stood on this stage
Night after night
Reminding the broken
It'll be alright
But right now
Oh right now I just can't

It's easy to sing
When there's nothing to bring me down
But what will I say
When I'm held to the flame
Like I am right now

I know You're able
And I know You can
Save through the fire
With Your mighty hand
But even if You don't
My hope is You alone

...


(1409614428508)"
3	christian-songs	Blessings	Lecrae Featuring Ty Dolla $ign	11.0	3.0	2017-04-22	"If I ever took a loss, I learned a lesson
I won't ever think I'm better than the next man
I've been down before the come up, I ain't stressin'
Baby I'm too busy countin' all these blessings

Yah, yah, yah
Count it up, count it up, count it up
Line 'em up, line 'em up, line 'em up
Swear the sun shinin' on me in my huddle
No matter the trouble surroundin' us
They don't see that it's a lot of us
Everybody move anonymous
Won't take that credit, I know where we get it
Them blessings be comin' from God above
I was doin' all kinda bad
Where the choir at? Tell 'em I need a verse
Hit the pew and tell God he's first
Hit the studio to body a verse
I remember pushin' mama's little white Hyundai with no gas money
I just bought a car, cash money
I ain't even tryna brag on it
I just tell it how it really is
I ain't trippin', they ain't feelin' this
I ain't sayin' I deserve nothin'
I'm just tryna talk about the benefits
I've been punchin' in the clock
Tryna keep the kitchen stocked
Man it's a blessin' 'cause we ain't ever had a lot
But all we need is all we got

If I ever took a loss, I learned a lesson
I won't ever think I'm better than the next man
I've been down before the come up, I ain't stressin'
Baby I'm too busy countin' all these blessings, blessings
...


(1409614428508)"
4	christian-songs	Love Broke Thru	tobyMac	30.0	4.0	2017-04-22	"I was feelin' that, feelin' that breeze
Singin' like a song thru the tall oak trees
It was just another summer night
Had to be the last thing on my mind
Yeah, I was all but lost in the moment
I was young and runnin' wide open
It was just another summer night
Had to be the last thing on my mind

When love broke thru
You found me in the darkness
Wanderin' thru the desert
I was a hopeless fool
Now I'm hopelessly devoted
My chains are broken
And it all began with You
When love broke thru
And it all began with You
When love broke thru

I did all that I could to undo me
But You loved me enough to pursue me
Yeah, You drew me out of the shadows
Made me believe that I mattered, to You (You)
...


(1409614428508)"
5	christian-songs	Oceans (Where Feet May Fail)	Hillsong UNITED	187.0	5.0	2017-04-22	"You call me out upon the waters
The great unknown where feet may fail
And there I find You in the mystery
In oceans deep
My faith will stand

And I will call upon Your name
And keep my eyes above the waves
When oceans rise
My soul will rest in Your embrace

For I am Yours and You are mine

Your grace abounds in deepest waters
Your sovereign hand
Will be my guide

Where feet may fail and fear surrounds me
You've never failed and You won't start now

So I will call upon Your name
And keep my eyes above the waves

...


(1409614428508)"
6	christian-songs	Chain Breaker	Zach Williams	43.0	7.0	2017-04-15	"If you've been walking the same old road for miles and miles
If you've been hearing the same old voice tell the same old lies
If you're trying to feel the same old holes inside
There's a better life
There's a better life

If you've got pain
He's a pain taker
...


(1409614428508)"
7	christian-songs	I Have This Hope	Tenth Avenue North	14.0	8.0	2017-04-15	"As I walk this great unknown
Questions come and questions go
Was there purpose for the pain?
Did I cry these tears in vain?

I don't want to live in fear
I want to trust that You are near
Trust Your grace can be seen
in both triumph and tragedy

I have this hope
In the depth of my soul
In the flood or the fire
You're with me
And You won't let go

But sometimes my faith feels thin
Like the night will never end
Will You catch every tear?
...


(1409614428508)"
8	christian-songs	Home	Chris Tomlin	12.0	9.0	2017-04-15	"This world is not what it was meant to be
All this pain, all this suffering
There's a better place
Waiting for me
In Heaven

Every tear will be wiped away
Every sorrow and sin erased
We'll dance on seas of amazing grace
In Heaven
In Heaven

I'm goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong
...


(1409614428508)"
9	christian-songs	Never Been A Moment	Micah Tyler	29.0	10.0	2017-04-15	"I've been a sinner, I've been a saint
A little bit of both every single day
I've been lost
But somehow I've been found

There's been some pain, been some regret
Been some moments I'll never forget
But when I look back
From where I'm standing now

There's never been a moment
I was not held inside your arms
And there's never been a day when
You were not who you say you are

You're forever
It don't matter what I'm walking through
Coz no matter where I'm going
There's never been a moment
That I was not loved by you

Loved by you
Loved by you

You've been the rock, you've been the piece
...


(1409614428508)"
10	christian-songs	Testify	NEEDTOBREATHE	38.0	11.0	2017-04-15	"Give me your heart, give me your song
Sing it with all your might
Come to the fountain
And you can be satisfied
There is a peace, there is a love
You can get lost inside
Come to the fountain
And let me hear you testify

Into the wild
Canyons of youth
Oh, there's a water to fall into
Weighless we'll dance
Like kids on the moon
Oh I will give myself to you
As soon as you start to let go

Give me your heart, give me your song
Sing it with all your might
Come to the fountain
And you can be satisfied
There is a peace, there is a love
You can get lost inside
Come to the fountain
And let me hear you testify

...


(1409614428508)"
11	christian-songs	Magnify	We Are Messengers	37.0	11.0	2017-04-08	"I've been trying to make sense
of the sorrow that I feel
Holding on for life to the
only thing that's real

I've only scratched the surface
I've barely had a taste
But just a glimpse draws
my heart to change
And one side of you lays
my sin to waste
I don't need to see everything
Just more of you

Take it all take it all away
Magnify no other name
Open up open up my eyes
To you

Take it all take it all away
Magnify no other name
Open up open up my eyes
To you

My sight is incomplete
...


(1409614428508)"
12	christian-songs	Forgiven	Crowder	14.0	12.0	2017-04-08	"I'm the one who held the nail
It was cold between my fingertips
I've hidden in the garden
I've denied You with my very lips
God, I fall down to my knees
with a hammer in my hand
You look at me, arms open
Forgiven! Forgiven!
Child there is freedom from all of it
Say goodbye to every sin
You are forgiven!
I've done things I wish I hadn't done
...


(1409614428508)"
13	christian-songs	Oh My Soul	Casting Crowns	8.0	13.0	2017-04-08	"Oh, my soul
Oh, how you worry
Oh, how you're weary from fearing
You lost control
This was the one thing
You didn't see coming
And no one would blame you though
If you cried in private
If you tried to hide it away
So no one knows
No one will see
If you stop believing

Oh, my soul
You are not alone
There's a place where fear
Has to face the God you know
One more day
He will make a way
Let Him show you how
You can lay this down
'cause you're not alone

...


(1409614428508)"
14	christian-songs	I Wanna Go Back	David Dunn	20.0	14.0	2017-04-08	"When I was a kid, I was sure I could run across the ocean,
That I was gonna be an astronaut.
It was You, and it was me,
I had everything I needed,
Faith could even move a mountaintop.
And then I grew up, and then I got older,
And my life got tough, and we grew apart.

Oooh, I wanna go back to Jesus loves me, this I know, for the Bible tells me, for the Bible tells me so.
I wanna go back to this little light, gonna let it shine, gonna let it shine, I wanna go back.

When I was a kid, I didn't care to keep up with the Joneses,
...


(1409614428508)"
15	christian-songs	Hills And Valleys	Tauren Wells	10.0	15.0	2017-04-08	"I walked among the shadows
You wiped my tears away
And I found the pain of heartbreak
And I've seen the brighter days
And I've rest heaven from my tallest place
And I have held the blessings
God you give and take away

No matter what I have, your grace is enough
No matter where I am, i'm standing in your love

On the mountains, I will bow my life
to the one who set me there
In the valley, I will lift my eyes to the one who sees me there
When I'm standing on the mountain aft, didn't get there on my own
When I'm walking through the valley end, no am not alone!
You're God of the hills and valleys!
Hills and Valleys!
God of the hills and valleys
and I am not alone!

I've watched my dreams get broken
...


(1409614428508)"
16	christian-songs	Unfinished	Mandisa	3.0	15.0	2017-04-01	"Not scared to say it
I used to be the one
Preaching it to you
That you could overcome
I still believe it
But it ain't easy

‘Cause that world I painted
Where things just all work out
It started changing
And I started having doubts
And it got me so down

But I picked myself back up
And I started telling me
No, my God's not done
Making me a masterpiece
He's still working on me

He started something good
And I'm gonna believe it
He started something good
And He's gonna complete it
So I'll celebrate the truth
His work in me ain't through
I'm just unfinished
...


(1409614428508)"
17	christian-songs	Live Like You're Loved	Hawk Nelson	22.0	16.0	2017-04-01	"You're not the only one who feels like this
Feelin' like you lose more than you win
Like life is just an endless hill you climb
You try and try, but never arrive

I'm tellin' you somethin'
This racing, this running
Oh, you're working way too hard!
And this perfection you're chasing
Is just energy wasted
Cause he love's you like you are!

So go ahead and live like you're loved
It's ok to act like you've been set free
His love has made you more than enough
So go ahead and be who he made you to be

And live like you're loved
live like you're loved
live like you're loved
live like you're loved

...


(1409614428508)"
18	christian-songs	Beloved	Jordan Feliz	12.0	17.0	2017-04-01	"Head full of questions, how can you measure up?
To deserve afftection to ever be enough
For this existance
When did it get so hard?
Your heart is beating, alive and breathing
And there´s a reason why
You are essential, not accidental
And you should realize
You are beloved
I wanted you to know
You are beloved
Let it soak into your soul
Oh, forget the lies you heard
Rise above the hurt
And listen to these words
You are beloved
I wanted you to know
You are beloved
You are beloved
Sometimes a heart can feel like a heavy weight
...


(1409614428508)"
19	christian-songs	Do It Again	Elevation Worship	7.0	18.0	2017-04-01	"Walking around these walls
I thought by now they'd fall
But you have never failed me yet
Waiting for change to come
Knowing the battle's won
For you have never failed me yet

Promise still stands
Great is your faithfulness, faithfulness
I'm still in your hands
This is my confidence
You've never failed me yet

I know the night won't last
Your word will come to pass
My heart will sing your praise again
Jesus you're still enough
...


(1409614428508)"
20	christian-songs	When I Pray For You	Dan + Shay	7.0	19.0	2017-04-01	"I talk to God about you
and I ain't even met you yet
everybody's waiting on you here

I can't wait to feel your heart beat
when I lay you on my chest
I'm already holding back my tears
I wanna be the dad that my dad was
I hope that I dont mess this whole thing up

I pray you love like your momma
and you forgive just like she does
and when this life knocks you down
I hope you get down on your knees
bc thats what I do, thats what I do
...


(1409614428508)"
21	christian-songs	Rise	Danny Gokey	31.0	8.0	2017-03-25	"There's a brokenness inside of you
There's a wound that still reminds you
Of the fear, shame and rejection
You have seen it, you have seen it

You know it's time to get up
But your heart's paralyzed, you're so stuck
You're past the point of trying again
You're defeated, you're defeated

But something inside you can't deny
You hear the call of your creator
I made you for more, unlocked the door
I wanna restore your glory
So rise
Breaking the dark, piercing the night
You're made to shine
An army of hope, bringing the world a radiant light
A radiant light
...


(1409614428508)"
22	christian-songs	Throne Room	Kim Walker-Smith	1.0	18.0	2017-03-25	"Dream after dream
You are, speaking to me
Breathing, word after word
Of kingdom come

Here at Your feet
I can, see the unseen
Truly, one look at You
And I'm undone

I run to, the Throne Room
I run to, the Throne Room...

And I fall on my face
With angels and saints
And all I can say is
Holy, Holy, Holy
Are You God

My heart can't contain
The weight of Your Name
And all I can say is
Holy, Holy, Holy
Are You...
...


(1409614428508)"
23	christian-songs	All That Matters	Colton Dixon	10.0	21.0	2017-03-25	"I've tasted hopelessness
I know what heartache is
Somehow through all of it
Your love remains
I've lived through brokenness
Feeling faceless
I'm not anonymous
You know my name
Your word is
A light unto my feet
Your love is
My identity
All that matters
Is you make all things new
There's no disaster
That you cannot undo
This world will fade, and life will change
All of this is true
All that matters
...


(1409614428508)"
24	christian-songs	Back To God	Reba McEntire	8.0	22.0	2017-03-25	"Have you looked around, have you heard the sound
of Mama's crying
Or do you turn away when you see the face
Of the innocent dying
In these darkest days are you not afraid
That it's too late

You gotta get down on your knees, believe
Fold your hands and beg and plead
You gotta keep on praying
...


(1409614428508)"
